code,description,default_next,option1,option1_next,option2,option2_next,end,img
0,這是一個風和日麗的下午，為了組織行為的小組期中計畫，你/妳擲出了乘載組員們心意的紙飛機，看見紙飛機朝天際飛去，這時，你的眼前突然一黑...,1,,,,,,default
1,當你再度張開雙眼，發現自己置身於一片神秘的森林中。四周高大的樹木擁抱著你，陽光透過樹葉間的縫隙灑落在地面上，形成斑斕的光影。,2,,,,,,default
2,耳邊傳來迷之聲，好像...是組織行為老師的聲音：「可憐的孩紙，因為北科生活過度勞累倒下，而你/妳因為具備優秀的組織行為知識，所以被轉生到這個正面臨著巨大的危機的異世界，只有你/妳能夠拯救它，選擇天職吧！」,,國王,3,公主,20,,default
3,西大陸的不死者之王被前代勇者討伐，王國迎來和平歲月，然而二十年後的現今，盤踞在北方山脈的惡龍突然現蹤，惡龍對王國發動襲擊並掠走王國的公主。在星辰的啟示下，國王找到了一名擁有強大潛力的勇者，但這名勇者目前吃不飽穿不暖，裝備又破又爛，睡眠不足且精神不濟，是個孤兒又沒有房子，此時國王…,,給予勇者足夠的後勤支援,5,相信勇者的潛力,4,,dragonroar.jpg
4,勇者直接踏上了旅程，然後被史萊姆幹掉了,,,,,,3,slime.jpg
5,勇者雖然整裝待發，準備冒險，但過往一直過著地位低下的生活，使他沒有信心能夠討伐巨龍，這時國王說道,,「勇者就是能扛下一切壓力，突破一切難關的聖人」,6,「你在星辰的昭示之下被選中，代表你有萬中無一的潛力，而我也相信你可以拯救公主」,7,,default
6,勇者認為自己當不成聖人，在極度的壓力之下，選擇臨陣脫逃。然後就被史萊姆給吞掉了,,,,,,5,slime.jpg
7,成功拾回自信的勇者陷入茫然，雖然他相信自己有足夠的潛力能辦到國王的請託，救回公主，但是完全沒有戰鬥經驗，此時國王應該…,,告訴勇者讀萬卷書不如行萬里路，唯有立刻動身冒險才是勇者之路,8,召集王國的菁英們，並親自出征成為勇者的夥伴，制定計畫，沿途教導勇者，提升勇者體能與戰鬥技巧,9,,default
8,勇者遭遇史萊姆，被史萊姆蹭一下就死掉了,,,,,,7,slime.jpg
9,身體健康、裝備齊全，處於完美狀態的勇者，在突破了重重難關，諸多隊友祭天之後，終於來到了惡龍巢穴的所在地。但是勇者又開始感到迷茫，現在的他除了擁有一身戰鬥的本領以外一無是處，打倒惡龍後的他又該何去何從，這時國王應該說…,,現在的你雖然感到迷茫，但想像一下，打倒那隻惡龍後，你將獲得的不僅僅是榮耀。每一次的冒險都是通向更大成就的一步，而你的成長旅程才剛剛開始。,11,這種事情等打倒惡龍再說，想再多有甚麼用？,10,,default
10,勇者的玻璃心破碎，心灰意冷的他在遇到史萊姆後坐以待斃，被史萊姆一招秒殺,,,,,,9,slime.jpg
11,勇者在與惡龍戰鬥的過程中陷入困難，縱使勇者本領已冠絕天下，但面對惡龍這等絕世兇獸也落入了下風，此時國王應該…,,默默關注勇者，等待結果,12,站到勇者身邊,13,,dragonbreath.jpg
12,勇者與惡龍同歸於盡，可喜可賀,,,,,,11,RIP.png
13,"「國王！您……！」
國王——前代勇者拔出身後寶劍，與勇者並肩作戰!",14,,,,,,word.png
14,兩位勇者強強聯手!戰場上，火焰吐息和劍光交織成驚心動魄的畫面。國王眼含堅毅，與勇者配合無間，劍刃閃爍著希望的光芒。隨著一聲巨響，他們成功挫敗了惡龍的進攻，勝利的曙光漸漸浮現。,15,,,,,,dragonbreath.jpg
15,感受到勝利的呼喚，國王和前代勇者齊心協力，攻勢如烈風般猛烈。寶劍刺向惡龍的弱點，驟然間兩點寒芒乍現，勇者和國王的協同攻擊終於擊敗了巨龍。惡龍嘶吼聲中，終結了這場戰鬥。,16,,,,,,win.jpg
16,勇者成功救回了公主，在公主的感動請求中，與國王展現出的智慧、慈愛以及卓越的領導魅力吸引之下，勇者成為了公主的後媽，與國王、公主過著幸福快樂的生活。,,,,,,happy_ending,castle.jpg
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,王國長期保持和平歲月，勇者成為了一種和平的象徵。然而，盤踞在北方山脈的惡龍突然現蹤，對王國發動襲擊並掠走了勇者。王國長公主登高一呼，召集精兵以及各方豪傑，勢要斬殺那惡龍奪回勇者。,21,,,,,,dragonroar.jpg
21,公主在屠龍的路上經過了一個新的村莊，發現到有了飢荒的問題，此時公主應該…,,不顧勸阻給予村莊8成軍糧,22,聽從建議派遣下屬，並運用強大的權力使得村莊與城市之間建立起更為穩固的溝通管道，從根本解決問題。,23,,village.jpg
22,士兵過於飢餓發生兵變公主被亂劍砍死。,,,,,,21,default
23,解決了飢荒問題的公主來到了無比炎熱的地帶，長時間的行軍之下，士兵們極度缺水，此時公主應該…,,帶領士兵回到先前記錄下來的水源處補水,25,繼續往前走期待前面有水源,24,,lava.jpg
24,士兵逐漸倒下，發生兵變，公主曝屍荒野。,,,,,,23,default
25,克服了先前難關的公主，來到了新的城鎮，得知前往下一個目的地需要經過長途跋涉，沿途沒有可用於中轉的城市，此時公主選擇,,急於求成，強行軍，不顧士兵反彈,26,經過合理的規劃與運營，確保整個軍隊維持良好狀態,27,,default
26,士兵的身心承受力瀕臨極限，卻在此時遭遇了魔獸群體襲擊，崩潰的士兵們在死前將公主給大卸八塊。,,,,,,25,wolf.jpg
27,公主英明的安排帶給了士兵極大的安全感，突如其來的魔獸群體也在公主的帶領之下迅速剿滅。全軍堅定地朝著下一個目的地前進。,28,,,,,,wolf.jpg
28,公主和士兵們成功排除重重難關。終於抵達了下一個目的地。與當地領主說明情況，並且請他們提供更多的食物和水源。公主和士兵們與村民們友好相處，親民的態度得到了更多的支援和惡龍的情報，並提高了公主的聲望以及期待。,29,,,,,,village.jpg
29,公主繼續前行，來到了惡龍所在的北方山脈，但發現士兵們揣懷著不安，此此公主決定…,,不予理會，相信他們一定可以的,30,精神喊話與煽動，提振士氣。,,31,mountain.jpg
30,烏合之眾被惡龍毀滅。,,,,,,,dragonbreath.jpg
31,公主表達了她對每位士兵的信任與肯定，提到他們過去共同克服的艱難，並強調他們所承擔的使命的重要性，並許諾後續獎勵，且平民與貴族一視同仁。士兵們內心的勇氣與信心鼓動著，並相信公主能夠帶領他們順利殺死巨龍。並與公主一同進攻龍巢!,32,,,,,,mountain.jpg
32,龍巢內，他們遭遇了惡龍的凶猛攻擊。戰鬥展開，火焰吐息和龍爪的威力讓每個人都感受到前所未有的壓力。此時公主…,,感受到自己的渺小，自信大減,33,永不退縮!,34,,dragonbreath.jpg
33,全員被龍息燒成灰燼。,,,,,,,dragonbreath.jpg
34,公主毫不退縮，她振臂高呼士兵們鼓起勇氣，同心協力。士兵也不示弱，他們巧妙地運用各種戰術，與龍周旋。,35,,,,,,dragonbreath.jpg
35,公主滿腔怒火，惡龍的每一次攻擊都會帶走生命。就在此時，她感受到自身信念與士兵們相互交織，在眾人的期望灌注之下，一陣無形的力量湧動而來，她突破了自我!,36,,,,,,dragonbreath.jpg
36,此時此刻，她的世界就彷彿褪去了所有色彩，巨龍的吐息、士兵的叫喊在她眼中變得無比緩慢。然後…出劍!,37,,,,,,win.jpg
37,剎那間，一抹劍光乍現，照亮了整個洞窟。而巨龍的動作戛然而止，龐大身軀轟然落地，已然死去。,38,,,,,,win.jpg
38,巨龍已死，公主順利的救回在龍巢深處的勇者。屠龍者的威名響徹大陸，各路豪傑前來投奔。在勇者的支持之下登上王位，在位期間征服無數領土，建立了帝國，成為史上第一位女帝。,,,,,,happy_ending,crown.png
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
